,locality,type of property,subtype of property,price,sale type,number of rooms,area,kitchen equipment,furnished,open fire,terrace,terrace area,garden,garden area,surface land,surface plot land,number of facades,swimming pool,building state
1,Asse,Appartement,Duplex,325000,notariale,6,130,0,0,0,True,12,0,None,None,None,None,0,old
2,Ruisbroek,Appartement,Loft,1140000,notariale,8,650,1,0,0,None,None,1,None,None,350,3,0,old
3,Kessel-Lo,Maison,None,520000,notariale,7,163,0,0,0,None,None,1,None,None,200,None,0,None
4,Tielt-Winge,Maison,None,209000,notariale,2,None,0,0,0,True,4,1,None,None,None,None,0,None
5,Diest,Maison,Maison unifamiliale,3500,notariale,4,204,0,0,0,None,None,0,None,None,194,3,0,old
6,Aarschot,Maison,None,229000,notariale,5,None,0,0,0,None,None,1,None,None,531,3,0,old
7,Zemst,Maison,None,329000,notariale,4,108,0,0,0,None,None,1,None,None,739,2,0,old
8,Dworp,Maison,None,500000,notariale,9,210,0,0,1,True,45,1,None,None,457,3,0,new
9,Rotselaar,Maison,None,268000,notariale,6,150,0,0,0,None,None,1,None,None,386,3,0,old
0,Merchtem,Appartement,None,184000.0,notariale,3,53,0,0,0,True,6,0,None,None,None,None,0,None
1,Merchtem,Appartement,None,269000.0,notariale,4,82,0,0,0,True,8,0,None,None,None,None,0,None
2,Aarschot,Appartement,Serviceflat,274900.0,notariale,5,72,0,0,0,True,40,1,None,None,None,2,0,old
3,Grimbergen,Appartement,Duplex,384000.0,notariale,6,125,0,1,0,None,None,0,None,None,None,None,0,old
4,None,Appartement,None,None,notariale,0,None,0,0,0,None,None,0,None,None,None,None,0,None
5,Sint-Pieters-Leeuw,Appartement,None,269000.0,notariale,2,None,0,0,0,True,35,0,None,None,None,None,0,None
6,Sint-Pieters-Leeuw,Appartement,None,249000.0,notariale,2,None,0,0,0,True,8,0,None,None,None,None,0,None
7,Sint-Pieters-Leeuw,Appartement,None,269000.0,notariale,2,None,0,0,0,True,95,0,None,None,None,None,0,None
8,Galmaarden,Maison,Bel-étage,363000.0,notariale,6,40,0,0,0,True,70,0,None,None,None,None,0,old
9,Galmaarden,Maison,Bel-étage,352000.0,notariale,6,69,0,0,0,True,70,0,None,None,None,None,0,old
0,Tienen,Appartement,None,153000,notariale,3,75,0,0,0,None,None,0,82,None,None,None,0,old
1,Tienen,Appartement,Duplex,218000,notariale,6,158,0,0,0,None,None,0,82,None,None,None,0,old
2,Herent,Maison,None,546600,notariale,9,50,0,0,0,None,None,1,None,None,240,2,0,old
3,Herent,Maison,None,499400,notariale,9,50,0,0,0,None,None,1,None,None,240,2,0,None
4,Keerbergen,Maison,Villa,449000,notariale,9,None,0,0,0,None,None,0,None,None,481,4,0,old
5,Zichem,Maison,None,379000,notariale,7,205,0,0,0,None,None,1,None,None,649,3,0,old
6,Deurne,Maison,None,308317,notariale,6,171,0,0,0,None,None,1,None,None,624,4,0,old
7,Bekkevoort,Appartement,Duplex,279900,notariale,6,155,0,0,0,True,18,0,None,None,None,2,0,old
8,Diest,Maison,None,195000,notariale,5,130,0,0,0,None,None,1,None,None,90,2,0,old
9,Diest,Appartement,None,145000,notariale,4,106,0,0,0,None,None,0,None,None,None,None,0,new
0,Kester,Maison,None,240000,notariale,5,143,0,0,0,True,15,0,None,None,400,3,0,None
1,Affligem,Maison,Maison unifamiliale,799000,notariale,8,233,0,0,0,None,None,0,None,None,261,3,0,new
2,Tienen,Appartement,None,255000,notariale,4,76,0,0,0,None,None,0,None,None,None,2,0,old
3,Diest,Appartement,None,195000,notariale,2,None,0,0,0,None,None,0,None,None,None,None,0,old
4,Diest,Appartement,None,175000,notariale,3,60,0,0,0,True,22,0,None,None,None,None,0,old
5,Diest,Appartement,Penthouse,495000,notariale,5,None,0,0,0,None,None,0,None,None,None,None,0,old
6,Diest,Appartement,None,350000,notariale,3,None,0,0,0,None,None,0,None,None,None,None,0,old
7,Groot-Bijgaarden,Appartement,Penthouse,549000,notariale,6,130,0,0,0,None,None,0,None,None,None,4,0,old
8,Eppegem,Maison,None,329000,notariale,5,130,0,0,0,None,None,0,None,None,290,4,0,old
9,Bever,Maison,Villa,1600000,notariale,11,364,0,0,0,None,None,1,518,3,521,4,0,new
0,Ruisbroek,Appartement,None,199000,notariale,3,80,0,0,0,True,4,1,None,None,None,None,0,new
1,Rummen,Maison,Maison unifamiliale,210000,notariale,5,135,0,0,0,None,None,1,None,None,000,3,0,old
2,Grimbergen,Appartement,Serviceflat,120000,notariale,3,28,0,0,0,True,3,0,None,None,None,2,0,old
3,Wezembeek-Oppem,Appartement,None,378440,notariale,3,13,0,0,0,True,47,0,None,None,None,None,0,None
4,Wezembeek-Oppem,Appartement,None,542950,notariale,4,148,0,0,0,True,79,0,None,None,None,None,0,None
5,Aarschot,Appartement,None,224300,notariale,3,50,0,0,0,None,None,0,None,None,None,2,0,old
6,Merchtem,Appartement,Duplex,395000,notariale,7,130,0,0,0,True,8,0,None,None,None,None,0,old
7,Merchtem,Appartement,Duplex,410000,notariale,7,150,0,0,0,True,7,0,None,None,None,None,0,old
8,Wezembeek-Oppem,Appartement,None,452050,notariale,3,126,0,0,0,True,8,0,None,None,None,None,0,None
9,Wilsele,Maison,None,599000,notariale,6,165,0,0,0,None,None,1,None,None,441,4,0,old
0,Tielt-Winge,Maison,Maison unifamiliale,389000,notariale,6,None,0,0,0,None,None,1,None,None,416,3,0,old
1,Tielt-Winge,Maison,Maison unifamiliale,379000,notariale,6,None,0,0,0,None,None,0,None,None,70,3,0,old
